id,timestamp,device,metric_name,value,unit,quality
26,2026-07-02 02:26:26.026,dev-026,pressure,689.73,%,GOOD
27,2026-07-02 03:27:27.027,dev-027,humidity,958.66,V,UNCERTAIN
28,2026-07-02 04:28:28.028,dev-028,voltage,869.89,V,GOOD
29,2026-07-02 05:29:29.029,dev-029,current,972.88,A,GOOD
30,2026-07-02 06:30:30.030,dev-030,voltage,634.29,kPa,GOOD
31,2026-07-02 07:31:31.031,dev-031,voltage,977.80,A,GOOD
32,2026-07-02 08:32:32.032,dev-032,current,338.91,V,GOOD
33,2026-07-02 09:33:33.033,dev-033,temperature,376.52,A,GOOD
34,2026-07-02 10:34:34.034,dev-034,temperature,633.53,%,UNCERTAIN
35,2026-07-02 11:35:35.035,dev-035,humidity,679.28,%,GOOD
36,2026-07-02 12:36:36.036,dev-036,voltage,22.18,C,GOOD
37,2026-07-02 13:37:37.037,dev-037,humidity,251.12,V,GOOD
38,2026-07-02 14:38:38.038,dev-038,current,601.45,kPa,GOOD
39,2026-07-02 15:39:39.039,dev-039,pressure,312.67,%,GOOD
40,2026-07-02 16:40:40.040,dev-040,humidity,787.30,C,GOOD
41,2026-07-02 17:41:41.041,dev-041,current,683.73,kPa,GOOD
42,2026-07-02 18:42:42.042,dev-042,current,222.54,%,GOOD
43,2026-07-02 19:43:43.043,dev-043,humidity,187.39,V,GOOD
44,2026-07-02 20:44:44.044,dev-044,temperature,600.72,%,GOOD
45,2026-07-02 21:45:45.045,dev-045,voltage,809.76,kPa,GOOD
46,2026-07-02 22:46:46.046,dev-046,humidity,742.07,kPa,UNCERTAIN
47,2026-07-02 23:47:47.047,dev-047,humidity,225.03,C,GOOD
48,2026-07-03 00:48:48.048,dev-048,current,957.58,%,GOOD
49,2026-07-03 01:49:49.049,dev-049,humidity,340.11,C,GOOD
50,2026-07-03 02:50:50.050,dev-050,current,129.69,%,GOOD
51,2026-07-03 03:51:51.051,dev-051,voltage,346.35,V,GOOD
52,2026-07-03 04:52:52.052,dev-052,voltage,568.33,C,UNCERTAIN
53,2026-07-03 05:53:53.053,dev-053,pressure,199.57,V,UNCERTAIN
54,2026-07-03 06:54:54.054,dev-054,current,950.16,kPa,GOOD
55,2026-07-03 07:55:55.055,dev-055,voltage,836.70,A,GOOD
56,2026-07-03 08:56:56.056,dev-056,current,341.07,kPa,GOOD
57,2026-07-03 09:57:57.057,dev-057,current,970.96,C,GOOD
58,2026-07-03 10:58:58.058,dev-058,temperature,35.14,A,GOOD
59,2026-07-03 11:59:59.059,dev-059,voltage,576.95,C,UNCERTAIN
60,2026-07-03 12:00:00.060,dev-060,temperature,171.82,%,GOOD
61,2026-07-03 13:01:01.061,dev-061,temperature,524.96,V,GOOD
62,2026-07-03 14:02:02.062,dev-062,current,113.59,kPa,GOOD
63,2026-07-03 15:03:03.063,dev-063,current,477.20,C,GOOD
64,2026-07-03 16:04:04.064,dev-064,pressure,197.33,A,GOOD
65,2026-07-03 17:05:05.065,dev-065,pressure,239.46,%,GOOD
66,2026-07-03 18:06:06.066,dev-066,temperature,487.50,A,UNCERTAIN
67,2026-07-03 19:07:07.067,dev-067,temperature,756.49,kPa,GOOD
68,2026-07-03 20:08:08.068,dev-068,current,527.27,V,GOOD
69,2026-07-03 21:09:09.069,dev-069,voltage,323.12,C,GOOD
70,2026-07-03 22:10:10.070,dev-070,pressure,46.18,C,GOOD
71,2026-07-03 23:11:11.071,dev-071,voltage,974.69,C,UNCERTAIN
72,2026-07-04 00:12:12.072,dev-072,humidity,157.04,C,GOOD
73,2026-07-04 01:13:13.073,dev-073,voltage,646.91,A,GOOD
74,2026-07-04 02:14:14.074,dev-074,humidity,264.93,%,UNCERTAIN
75,2026-07-04 03:15:15.075,dev-075,temperature,127.61,C,UNCERTAIN
76,2026-07-04 04:16:16.076,dev-076,temperature,566.73,C,GOOD
77,2026-07-04 05:17:17.077,dev-077,voltage,604.43,A,UNCERTAIN
78,2026-07-04 06:18:18.078,dev-078,temperature,622.93,V,GOOD
79,2026-07-04 07:19:19.079,dev-079,humidity,627.44,%,UNCERTAIN
80,2026-07-04 08:20:20.080,dev-080,voltage,460.84,kPa,GOOD
81,2026-07-04 09:21:21.081,dev-081,current,270.09,A,GOOD
82,2026-07-04 10:22:22.082,dev-082,voltage,224.44,kPa,GOOD
83,2026-07-04 11:23:23.083,dev-083,humidity,374.24,A,GOOD
84,2026-07-04 12:24:24.084,dev-084,temperature,464.14,C,UNCERTAIN
85,2026-07-04 13:25:25.085,dev-085,temperature,733.74,A,GOOD
86,2026-07-04 14:26:26.086,dev-086,current,716.58,V,GOOD
87,2026-07-04 15:27:27.087,dev-087,pressure,774.30,C,GOOD
88,2026-07-04 16:28:28.088,dev-088,current,99.30,V,GOOD
89,2026-07-04 17:29:29.089,dev-089,temperature,341.48,C,GOOD
90,2026-07-04 18:30:30.090,dev-090,temperature,673.53,%,GOOD
91,2026-07-04 19:31:31.091,dev-091,temperature,36.27,A,GOOD
92,2026-07-04 20:32:32.092,dev-092,temperature,554.46,C,GOOD
93,2026-07-04 21:33:33.093,dev-093,current,324.25,A,GOOD
94,2026-07-04 22:34:34.094,dev-094,temperature,242.13,kPa,GOOD
95,2026-07-04 23:35:35.095,dev-095,voltage,615.98,V,GOOD
96,2026-07-05 00:36:36.096,dev-096,humidity,599.45,%,UNCERTAIN
97,2026-07-05 01:37:37.097,dev-097,temperature,375.32,kPa,UNCERTAIN
98,2026-07-05 02:38:38.098,dev-098,pressure,415.27,A,UNCERTAIN
99,2026-07-05 03:39:39.099,dev-099,pressure,642.95,kPa,GOOD
100,2026-07-05 04:40:40.100,dev-100,temperature,497.96,V,UNCERTAIN
101,2026-07-05 05:41:41.101,dev-101,current,718.91,kPa,GOOD
102,2026-07-05 06:42:42.102,dev-102,humidity,752.05,kPa,GOOD
103,2026-07-05 07:43:43.103,dev-103,pressure,851.49,A,GOOD
104,2026-07-05 08:44:44.104,dev-104,voltage,595.23,A,GOOD
105,2026-07-05 09:45:45.105,dev-105,pressure,307.23,%,UNCERTAIN
106,2026-07-05 10:46:46.106,dev-106,voltage,200.62,A,GOOD
107,2026-07-05 11:47:47.107,dev-107,pressure,322.04,kPa,UNCERTAIN
108,2026-07-05 12:48:48.108,dev-108,voltage,701.49,kPa,UNCERTAIN
109,2026-07-05 13:49:49.109,dev-109,current,834.61,A,GOOD
110,2026-07-05 14:50:50.110,dev-110,voltage,992.79,C,UNCERTAIN
111,2026-07-05 15:51:51.111,dev-111,temperature,467.40,kPa,GOOD
112,2026-07-05 16:52:52.112,dev-112,temperature,958.71,%,GOOD
113,2026-07-05 17:53:53.113,dev-113,pressure,775.80,kPa,GOOD
114,2026-07-05 18:54:54.114,dev-114,current,704.73,C,GOOD
115,2026-07-05 19:55:55.115,dev-115,pressure,865.10,%,GOOD
116,2026-07-05 20:56:56.116,dev-116,voltage,90.96,C,GOOD
117,2026-07-05 21:57:57.117,dev-117,temperature,264.18,%,GOOD
118,2026-07-05 22:58:58.118,dev-118,humidity,452.36,%,GOOD
119,2026-07-05 23:59:59.119,dev-119,temperature,334.80,V,UNCERTAIN
120,2026-07-06 00:00:00.120,dev-120,voltage,77.97,A,UNCERTAIN
121,2026-07-06 01:01:01.121,dev-121,voltage,125.43,%,GOOD
122,2026-07-06 02:02:02.122,dev-122,humidity,76.24,V,GOOD
123,2026-07-06 03:03:03.123,dev-123,voltage,887.19,%,GOOD
124,2026-07-06 04:04:04.124,dev-124,current,941.29,%,GOOD
125,2026-07-06 05:05:05.125,dev-125,voltage,295.53,%,GOOD
126,2026-07-06 06:06:06.126,dev-126,humidity,672.83,A,GOOD
127,2026-07-06 07:07:07.127,dev-127,voltage,508.68,C,GOOD
128,2026-07-06 08:08:08.128,dev-000,current,742.26,kPa,GOOD
129,2026-07-06 09:09:09.129,dev-001,humidity,889.92,V,GOOD
130,2026-07-06 10:10:10.130,dev-002,temperature,931.84,kPa,GOOD
131,2026-07-06 11:11:11.131,dev-003,current,420.14,%,GOOD
132,2026-07-06 12:12:12.132,dev-004,voltage,482.37,kPa,GOOD
133,2026-07-06 13:13:13.133,dev-005,temperature,715.84,A,UNCERTAIN
134,2026-07-06 14:14:14.134,dev-006,humidity,99.85,%,UNCERTAIN
135,2026-07-06 15:15:15.135,dev-007,temperature,872.54,C,UNCERTAIN
136,2026-07-06 16:16:16.136,dev-008,current,271.27,A,GOOD
137,2026-07-06 17:17:17.137,dev-009,humidity,945.04,V,GOOD
138,2026-07-06 18:18:18.138,dev-010,humidity,498.01,C,GOOD
139,2026-07-06 19:19:19.139,dev-011,humidity,590.12,C,GOOD
140,2026-07-06 20:20:20.140,dev-012,pressure,698.17,A,UNCERTAIN
141,2026-07-06 21:21:21.141,dev-013,voltage,815.75,kPa,GOOD
142,2026-07-06 22:22:22.142,dev-014,voltage,798.20,A,GOOD
143,2026-07-06 23:23:23.143,dev-015,current,178.89,%,GOOD
144,2026-07-07 00:24:24.144,dev-016,humidity,30.09,V,UNCERTAIN
145,2026-07-07 01:25:25.145,dev-017,voltage,315.95,A,GOOD
146,2026-07-07 02:26:26.146,dev-018,voltage,976.98,%,UNCERTAIN
147,2026-07-07 03:27:27.147,dev-019,temperature,601.36,C,GOOD
148,2026-07-07 04:28:28.148,dev-020,pressure,491.87,A,UNCERTAIN
149,2026-07-07 05:29:29.149,dev-021,pressure,193.44,A,GOOD
150,2026-07-07 06:30:30.150,dev-022,temperature,812.72,V,GOOD
151,2026-07-07 07:31:31.151,dev-023,current,283.25,kPa,GOOD
152,2026-07-07 08:32:32.152,dev-024,voltage,792.38,A,GOOD
153,2026-07-07 09:33:33.153,dev-025,temperature,359.90,kPa,GOOD
154,2026-07-07 10:34:34.154,dev-026,voltage,538.88,%,GOOD
155,2026-07-07 11:35:35.155,dev-027,humidity,870.51,kPa,GOOD
156,2026-07-07 12:36:36.156,dev-028,current,775.35,C,GOOD
157,2026-07-07 13:37:37.157,dev-029,humidity,997.86,kPa,GOOD
158,2026-07-07 14:38:38.158,dev-030,pressure,437.02,kPa,UNCERTAIN
159,2026-07-07 15:39:39.159,dev-031,humidity,109.12,C,UNCERTAIN
160,2026-07-07 16:40:40.160,dev-032,temperature,845.25,kPa,UNCERTAIN
161,2026-07-07 17:41:41.161,dev-033,voltage,473.28,C,UNCERTAIN
162,2026-07-07 18:42:42.162,dev-034,pressure,649.24,%,GOOD
163,2026-07-07 19:43:43.163,dev-035,voltage,457.58,V,UNCERTAIN
164,2026-07-07 20:44:44.164,dev-036,pressure,455.38,C,GOOD
165,2026-07-07 21:45:45.165,dev-037,humidity,848.79,V,GOOD
166,2026-07-07 22:46:46.166,dev-038,current,401.81,C,GOOD
167,2026-07-07 23:47:47.167,dev-039,humidity,783.18,kPa,UNCERTAIN
168,2026-07-08 00:48:48.168,dev-040,current,195.30,kPa,GOOD
169,2026-07-08 01:49:49.169,dev-041,pressure,584.53,A,GOOD
170,2026-07-08 02:50:50.170,dev-042,temperature,139.26,A,GOOD
171,2026-07-08 03:51:51.171,dev-043,voltage,490.28,C,GOOD
172,2026-07-08 04:52:52.172,dev-044,voltage,448.02,V,GOOD
173,2026-07-08 05:53:53.173,dev-045,temperature,239.24,C,UNCERTAIN
174,2026-07-08 06:54:54.174,dev-046,voltage,26.66,kPa,GOOD
175,2026-07-08 07:55:55.175,dev-047,temperature,389.08,kPa,GOOD
176,2026-07-08 08:56:56.176,dev-048,humidity,622.45,%,GOOD
177,2026-07-08 09:57:57.177,dev-049,current,51.89,%,GOOD
178,2026-07-08 10:58:58.178,dev-050,voltage,789.27,%,UNCERTAIN
179,2026-07-08 11:59:59.179,dev-051,pressure,561.12,C,GOOD
180,2026-07-08 12:00:00.180,dev-052,humidity,317.04,C,UNCERTAIN
181,2026-07-08 13:01:01.181,dev-053,temperature,592.26,C,GOOD
182,2026-07-08 14:02:02.182,dev-054,temperature,680.83,C,GOOD
183,2026-07-08 15:03:03.183,dev-055,current,36.61,C,GOOD
184,2026-07-08 16:04:04.184,dev-056,current,900.30,kPa,UNCERTAIN
185,2026-07-08 17:05:05.185,dev-057,humidity,803.59,%,GOOD
186,2026-07-08 18:06:06.186,dev-058,voltage,304.72,A,UNCERTAIN
187,2026-07-08 19:07:07.187,dev-059,temperature,947.31,kPa,UNCERTAIN
188,2026-07-08 20:08:08.188,dev-060,temperature,507.48,A,GOOD
189,2026-07-08 21:09:09.189,dev-061,current,680.05,V,GOOD
190,2026-07-08 22:10:10.190,dev-062,voltage,835.66,A,GOOD
191,2026-07-08 23:11:11.191,dev-063,pressure,362.83,V,UNCERTAIN
192,2026-07-09 00:12:12.192,dev-064,pressure,444.48,V,GOOD
193,2026-07-09 01:13:13.193,dev-065,humidity,820.93,A,UNCERTAIN
194,2026-07-09 02:14:14.194,dev-066,voltage,42.73,kPa,GOOD
195,2026-07-09 03:15:15.195,dev-067,voltage,92.00,C,GOOD
196,2026-07-09 04:16:16.196,dev-068,pressure,600.68,C,GOOD
197,2026-07-09 05:17:17.197,dev-069,voltage,466.45,%,GOOD
198,2026-07-09 06:18:18.198,dev-070,temperature,72.06,V,GOOD
199,2026-07-09 07:19:19.199,dev-071,humidity,568.89,C,UNCERTAIN
200,2026-07-09 08:20:20.200,dev-072,temperature,821.93,kPa,GOOD
201,2026-07-09 09:21:21.201,dev-073,temperature,977.64,kPa,GOOD
202,2026-07-09 10:22:22.202,dev-074,temperature,229.92,kPa,GOOD
203,2026-07-09 11:23:23.203,dev-075,current,515.57,A,GOOD
204,2026-07-09 12:24:24.204,dev-076,current,782.17,V,GOOD
205,2026-07-09 13:25:25.205,dev-077,current,79.13,C,GOOD
206,2026-07-09 14:26:26.206,dev-078,temperature,199.26,%,GOOD
207,2026-07-09 15:27:27.207,dev-079,temperature,465.23,kPa,GOOD
208,2026-07-09 16:28:28.208,dev-080,voltage,761.40,%,UNCERTAIN
209,2026-07-09 17:29:29.209,dev-081,current,661.07,C,GOOD
210,2026-07-09 18:30:30.210,dev-082,current,443.70,V,GOOD
211,2026-07-09 19:31:31.211,dev-083,temperature,539.18,V,GOOD
212,2026-07-09 20:32:32.212,dev-084,temperature,341.57,kPa,UNCERTAIN
213,2026-07-09 21:33:33.213,dev-085,temperature,923.93,%,UNCERTAIN
214,2026-07-09 22:34:34.214,dev-086,temperature,605.87,kPa,GOOD
215,2026-07-09 23:35:35.215,dev-087,humidity,837.97,C,GOOD
216,2026-07-10 00:36:36.216,dev-088,pressure,430.83,C,GOOD
217,2026-07-10 01:37:37.217,dev-089,pressure,323.23,kPa,GOOD
218,2026-07-10 02:38:38.218,dev-090,current,463.56,A,UNCERTAIN
219,2026-07-10 03:39:39.219,dev-091,humidity,948.05,A,UNCERTAIN
220,2026-07-10 04:40:40.220,dev-092,voltage,893.71,V,UNCERTAIN
221,2026-07-10 05:41:41.221,dev-093,current,920.30,%,GOOD
222,2026-07-10 06:42:42.222,dev-094,pressure,892.43,C,GOOD
223,2026-07-10 07:43:43.223,dev-095,humidity,503.52,C,UNCERTAIN
224,2026-07-10 08:44:44.224,dev-096,temperature,194.82,kPa,GOOD
225,2026-07-10 09:45:45.225,dev-097,voltage,432.39,%,UNCERTAIN
226,2026-07-10 10:46:46.226,dev-098,pressure,746.79,%,GOOD
227,2026-07-10 11:47:47.227,dev-099,temperature,444.07,V,UNCERTAIN
228,2026-07-10 12:48:48.228,dev-100,temperature,205.61,V,GOOD
229,2026-07-10 13:49:49.229,dev-101,voltage,979.65,%,GOOD
230,2026-07-10 14:50:50.230,dev-102,voltage,311.94,V,UNCERTAIN
231,2026-07-10 15:51:51.231,dev-103,current,998.58,kPa,GOOD
232,2026-07-10 16:52:52.232,dev-104,humidity,285.19,V,GOOD
233,2026-07-10 17:53:53.233,dev-105,humidity,807.14,%,GOOD
234,2026-07-10 18:54:54.234,dev-106,current,10.06,kPa,GOOD
235,2026-07-10 19:55:55.235,dev-107,current,20.86,C,GOOD
236,2026-07-10 20:56:56.236,dev-108,pressure,983.67,V,GOOD
237,2026-07-10 21:57:57.237,dev-109,humidity,979.24,C,UNCERTAIN
238,2026-07-10 22:58:58.238,dev-110,pressure,238.74,%,UNCERTAIN
239,2026-07-10 23:59:59.239,dev-111,humidity,835.53,A,GOOD
240,2026-07-11 00:00:00.240,dev-112,voltage,311.62,kPa,UNCERTAIN
241,2026-07-11 01:01:01.241,dev-113,voltage,722.89,%,GOOD
242,2026-07-11 02:02:02.242,dev-114,temperature,429.56,kPa,GOOD
243,2026-07-11 03:03:03.243,dev-115,pressure,743.66,V,GOOD
244,2026-07-11 04:04:04.244,dev-116,current,133.72,C,GOOD
245,2026-07-11 05:05:05.245,dev-117,temperature,17.05,C,UNCERTAIN
246,2026-07-11 06:06:06.246,dev-118,voltage,521.14,A,UNCERTAIN
247,2026-07-11 07:07:07.247,dev-119,humidity,518.41,kPa,GOOD
248,2026-07-11 08:08:08.248,dev-120,pressure,73.73,kPa,GOOD
249,2026-07-11 09:09:09.249,dev-121,voltage,774.17,V,UNCERTAIN
250,2026-07-11 10:10:10.250,dev-122,humidity,802.95,V,GOOD
251,2026-07-11 11:11:11.251,dev-123,current,155.30,%,GOOD
252,2026-07-11 12:12:12.252,dev-124,current,37.76,V,GOOD
253,2026-07-11 13:13:13.253,dev-125,voltage,931.33,A,GOOD
254,2026-07-11 14:14:14.254,dev-126,temperature,316.50,A,GOOD
255,2026-07-11 15:15:15.255,dev-127,voltage,125.22,%,GOOD
256,2026-07-11 16:16:16.256,dev-000,voltage,668.69,%,GOOD
257,2026-07-11 17:17:17.257,dev-001,current,487.00,V,GOOD
258,2026-07-11 18:18:18.258,dev-002,humidity,920.71,kPa,UNCERTAIN
259,2026-07-11 19:19:19.259,dev-003,voltage,316.20,%,GOOD
260,2026-07-11 20:20:20.260,dev-004,temperature,943.80,%,UNCERTAIN
261,2026-07-11 21:21:21.261,dev-005,current,281.95,kPa,UNCERTAIN
262,2026-07-11 22:22:22.262,dev-006,humidity,413.35,C,UNCERTAIN
263,2026-07-11 23:23:23.263,dev-007,pressure,956.79,C,GOOD
264,2026-07-12 00:24:24.264,dev-008,temperature,631.12,C,GOOD
265,2026-07-12 01:25:25.265,dev-009,temperature,431.25,V,UNCERTAIN
266,2026-07-12 02:26:26.266,dev-010,humidity,289.40,A,GOOD
267,2026-07-12 03:27:27.267,dev-011,pressure,235.94,kPa,GOOD
268,2026-07-12 04:28:28.268,dev-012,pressure,905.49,kPa,UNCERTAIN
269,2026-07-12 05:29:29.269,dev-013,voltage,646.93,kPa,UNCERTAIN
270,2026-07-12 06:30:30.270,dev-014,temperature,180.30,kPa,GOOD
271,2026-07-12 07:31:31.271,dev-015,pressure,648.65,kPa,GOOD
272,2026-07-12 08:32:32.272,dev-016,temperature,524.04,kPa,GOOD
273,2026-07-12 09:33:33.273,dev-017,voltage,778.78,V,UNCERTAIN
274,2026-07-12 10:34:34.274,dev-018,pressure,987.52,%,GOOD
275,2026-07-12 11:35:35.275,dev-019,pressure,115.09,%,GOOD
276,2026-07-12 12:36:36.276,dev-020,voltage,352.42,A,GOOD
277,2026-07-12 13:37:37.277,dev-021,pressure,7.42,%,GOOD
278,2026-07-12 14:38:38.278,dev-022,voltage,245.95,%,UNCERTAIN
279,2026-07-12 15:39:39.279,dev-023,temperature,703.41,%,UNCERTAIN
280,2026-07-12 16:40:40.280,dev-024,temperature,739.44,A,UNCERTAIN
281,2026-07-12 17:41:41.281,dev-025,current,407.40,A,GOOD
282,2026-07-12 18:42:42.282,dev-026,voltage,149.11,V,UNCERTAIN
283,2026-07-12 19:43:43.283,dev-027,pressure,756.60,%,GOOD
284,2026-07-12 20:44:44.284,dev-028,humidity,963.45,kPa,GOOD
285,2026-07-12 21:45:45.285,dev-029,humidity,839.95,kPa,GOOD
286,2026-07-12 22:46:46.286,dev-030,current,978.37,V,GOOD
287,2026-07-12 23:47:47.287,dev-031,temperature,573.40,kPa,GOOD
288,2026-07-13 00:48:48.288,dev-032,voltage,991.56,%,GOOD
289,2026-07-13 01:49:49.289,dev-033,temperature,463.42,A,UNCERTAIN
290,2026-07-13 02:50:50.290,dev-034,humidity,146.34,A,GOOD
291,2026-07-13 03:51:51.291,dev-035,humidity,456.24,A,GOOD
292,2026-07-13 04:52:52.292,dev-036,humidity,591.05,A,GOOD
293,2026-07-13 05:53:53.293,dev-037,humidity,286.79,%,GOOD
294,2026-07-13 06:54:54.294,dev-038,pressure,123.18,A,GOOD
295,2026-07-13 07:55:55.295,dev-039,humidity,728.85,kPa,GOOD
296,2026-07-13 08:56:56.296,dev-040,voltage,966.93,V,GOOD
297,2026-07-13 09:57:57.297,dev-041,voltage,334.52,kPa,UNCERTAIN
298,2026-07-13 10:58:58.298,dev-042,current,51.57,V,UNCERTAIN
299,2026-07-13 11:59:59.299,dev-043,current,847.48,%,GOOD
300,2026-07-13 12:00:00.300,dev-044,pressure,854.48,V,GOOD
301,2026-07-13 13:01:01.301,dev-045,temperature,366.62,kPa,GOOD
302,2026-07-13 14:02:02.302,dev-046,current,494.07,C,UNCERTAIN
303,2026-07-13 15:03:03.303,dev-047,voltage,711.36,%,GOOD
304,2026-07-13 16:04:04.304,dev-048,humidity,372.07,%,UNCERTAIN
305,2026-07-13 17:05:05.305,dev-049,voltage,372.54,C,UNCERTAIN
306,2026-07-13 18:06:06.306,dev-050,pressure,323.37,C,GOOD
307,2026-07-13 19:07:07.307,dev-051,temperature,614.68,kPa,GOOD
308,2026-07-13 20:08:08.308,dev-052,pressure,320.64,%,GOOD
309,2026-07-13 21:09:09.309,dev-053,temperature,28.40,%,UNCERTAIN
310,2026-07-13 22:10:10.310,dev-054,humidity,828.41,kPa,UNCERTAIN
311,2026-07-13 23:11:11.311,dev-055,humidity,682.43,C,UNCERTAIN
312,2026-07-14 00:12:12.312,dev-056,pressure,475.35,%,GOOD
313,2026-07-14 01:13:13.313,dev-057,current,189.91,kPa,GOOD
314,2026-07-14 02:14:14.314,dev-058,voltage,28.05,%,UNCERTAIN
315,2026-07-14 03:15:15.315,dev-059,temperature,490.22,kPa,UNCERTAIN
316,2026-07-14 04:16:16.316,dev-060,humidity,139.97,kPa,UNCERTAIN
317,2026-07-14 05:17:17.317,dev-061,current,628.66,%,UNCERTAIN
318,2026-07-14 06:18:18.318,dev-062,humidity,97.04,C,GOOD
319,2026-07-14 07:19:19.319,dev-063,voltage,877.17,%,GOOD
320,2026-07-14 08:20:20.320,dev-064,temperature,324.38,V,GOOD
321,2026-07-14 09:21:21.321,dev-065,humidity,644.18,A,GOOD
322,2026-07-14 10:22:22.322,dev-066,humidity,201.93,V,GOOD
323,2026-07-14 11:23:23.323,dev-067,temperature,641.28,C,GOOD
324,2026-07-14 12:24:24.324,dev-068,current,829.03,kPa,GOOD
325,2026-07-14 13:25:25.325,dev-069,voltage,824.31,A,UNCERTAIN
326,2026-07-14 14:26:26.326,dev-070,humidity,343.86,V,GOOD
327,2026-07-14 15:27:27.327,dev-071,pressure,573.08,%,GOOD
328,2026-07-14 16:28:28.328,dev-072,current,531.58,A,GOOD
329,2026-07-14 17:29:29.329,dev-073,humidity,768.71,A,GOOD
330,2026-07-14 18:30:30.330,dev-074,voltage,59.88,V,GOOD
331,2026-07-14 19:31:31.331,dev-075,pressure,493.52,kPa,GOOD
332,2026-07-14 20:32:32.332,dev-076,temperature,937.64,C,UNCERTAIN
333,2026-07-14 21:33:33.333,dev-077,pressure,315.41,C,GOOD
334,2026-07-14 22:34:34.334,dev-078,voltage,246.90,C,GOOD
335,2026-07-14 23:35:35.335,dev-079,voltage,366.92,kPa,GOOD
336,2026-07-15 00:36:36.336,dev-080,humidity,250.71,%,GOOD
337,2026-07-15 01:37:37.337,dev-081,humidity,732.24,kPa,GOOD
338,2026-07-15 02:38:38.338,dev-082,humidity,442.18,A,GOOD
339,2026-07-15 03:39:39.339,dev-083,pressure,482.98,kPa,GOOD
340,2026-07-15 04:40:40.340,dev-084,humidity,609.36,kPa,UNCERTAIN
341,2026-07-15 05:41:41.341,dev-085,current,539.54,A,GOOD
342,2026-07-15 06:42:42.342,dev-086,humidity,442.34,C,GOOD
343,2026-07-15 07:43:43.343,dev-087,current,859.63,V,GOOD
344,2026-07-15 08:44:44.344,dev-088,current,176.47,A,UNCERTAIN
345,2026-07-15 09:45:45.345,dev-089,voltage,221.89,A,UNCERTAIN
346,2026-07-15 10:46:46.346,dev-090,humidity,406.16,A,UNCERTAIN
347,2026-07-15 11:47:47.347,dev-091,pressure,114.81,V,GOOD
348,2026-07-15 12:48:48.348,dev-092,pressure,583.45,C,GOOD
349,2026-07-15 13:49:49.349,dev-093,current,146.58,%,UNCERTAIN
350,2026-07-15 14:50:50.350,dev-094,current,151.94,V,GOOD
351,2026-07-15 15:51:51.351,dev-095,voltage,41.86,%,GOOD
352,2026-07-15 16:52:52.352,dev-096,current,93.56,A,GOOD
353,2026-07-15 17:53:53.353,dev-097,current,892.15,%,GOOD
354,2026-07-15 18:54:54.354,dev-098,voltage,835.96,%,GOOD
355,2026-07-15 19:55:55.355,dev-099,voltage,678.59,%,UNCERTAIN
356,2026-07-15 20:56:56.356,dev-100,voltage,370.04,kPa,GOOD
357,2026-07-15 21:57:57.357,dev-101,humidity,697.62,A,UNCERTAIN
358,2026-07-15 22:58:58.358,dev-102,temperature,324.04,kPa,GOOD
359,2026-07-15 23:59:59.359,dev-103,voltage,172.54,V,UNCERTAIN
360,2026-07-16 00:00:00.360,dev-104,pressure,908.06,A,GOOD
361,2026-07-16 01:01:01.361,dev-105,temperature,723.86,A,UNCERTAIN
362,2026-07-16 02:02:02.362,dev-106,pressure,165.82,kPa,GOOD
363,2026-07-16 03:03:03.363,dev-107,temperature,552.00,C,UNCERTAIN
364,2026-07-16 04:04:04.364,dev-108,current,515.53,V,GOOD
